2010/1/1,2010/4/1,2010/7/1,2010/10/1,2011/1/1,2011/4/1,2011/7/1,2011/10/1,2012/1/1,2012/4/1,2012/7/1,2012/10/1,2013/1/1,2013/4/1,2013/7/1,2013/10/1,2014/1/1,2014/4/1,2014/7/1,2014/10/1,2015/1/1,2015/4/1,2015/7/1,2015/10/1,2016/1/1,2016/4/1,2016/7/1,2016/10/1,2017/1/1,2017/4/1,2017/7/1,2017/10/1,2018/1/1
PWR,PWR,PTV,PSA,PRU,PPL,PPG,PPG,PRGO,PRU,PRU,PRU,PPL,PRGO,PRU,PSA,PRU,PRU,PRU,PRGO,PRU,PSA,PRGO,PRU,PSX,PWR,PVH,PVH,PVH,PWR,PSA,PRGO,PRGO
PX,PX,PWR,PTV,PSA,PRU,PPL,PPL,PRU,PSA,PSA,PSA,PRGO,PRU,PSA,PSX,PSA,PSA,PSA,PRU,PSA,PSX,PRU,PSA,PVH,PX,PWR,PWR,PWR,PX,PSX,PRU,PRU
PXD,PXD,PX,PWR,PWR,PSA,PRU,PRU,PSA,PWR,PSX,PSX,PRU,PSA,PSX,PVH,PSX,PSX,PSX,PSA,PSX,PVH,PSA,PSX,PWR,PXD,PX,PX,PX,PXD,PVH,PSA,PSA
QCOM,QCOM,PXD,PX,PX,PWR,PSA,PSA,PWR,PX,PWR,PWR,PSA,PSX,PVH,PWR,PVH,PVH,PVH,PSX,PVH,PWR,PSX,PVH,PX,PYPL,PXD,PXD,PXD,PYPL,PWR,PSX,PSX
QLGC,QLGC,QCOM,PXD,PXD,PX,PWR,PWR,PX,PXD,PX,PX,PSX,PVH,PWR,PX,PWR,PWR,PWR,PVH,PWR,PX,PVH,PWR,PXD,QCOM,PYPL,PYPL,PYPL,QCOM,PX,PVH,PVH
R,R,QEP,QCOM,QCOM,PXD,PX,PX,PXD,QCOM,PXD,PXD,PWR,PWR,PX,PXD,PX,PX,PX,PWR,PX,PXD,PWR,PX,PYPL,QRVO,QCOM,QCOM,QCOM,QRVO,PXD,PWR,PWR
RAI,RAI,QLGC,QEP,QEP,QCOM,PXD,PXD,QCOM,QEP,QCOM,QCOM,PX,PX,PXD,QCOM,PXD,PXD,PXD,PX,PXD,QCOM,PX,PXD,QCOM,R,QRVO,QRVO,QRVO,R,PYPL,PX,PX
RDC,RDC,R,QLGC,QLGC,QEP,QCOM,QCOM,QEP,R,QEP,QEP,PXD,PXD,QCOM,QEP,QCOM,QCOM,QCOM,PXD,QCOM,QEP,PXD,PYPL,QRVO,RAI,R,R,R,RAI,QCOM,PXD,PXD
RF,RF,RAI,R,R,R,QEP,QEP,R,RAI,R,R,QCOM,QCOM,QEP,R,QEP,QEP,QEP,QCOM,QEP,R,QCOM,QCOM,R,RCL,RAI,RAI,RAI,RCL,QRVO,PYPL,PYPL
RHI,RHI,RDC,RAI,RAI,RAI,R,R,RAI,RDC,RAI,RAI,QEP,QEP,R,RAI,R,R,R,QEP,R,RAI,QRVO,QRVO,RAI,REGN,RCL,RCL,RCL,REG,RAI,QCOM,QCOM
