Date,SP500,APPL,AMZN,AMD,IBM,MSFT
2010-09-28,1147.699951,27.442789,159.699997,6.95,105.03607199999999,20.000517000000002
2010-09-29,1144.72998,27.491571,158.990005,7.28,105.495506,19.854641
2010-09-30,1141.199951,27.145264,157.059998,7.11,104.452072,19.846544
2010-10-01,1146.23999,27.027594,153.71000700000002,7.05,105.620094,19.757391000000002
2010-10-04,1137.030029,26.656401000000002,155.389999,6.94,105.316422,19.376513
2010-10-05,1160.75,27.641764000000002,160.869995,6.98,107.193031,19.733089
2010-10-06,1159.969971,27.665682,155.399994,6.86,107.333206,19.797916
2010-10-07,1158.060059,27.668552000000002,156.270004,6.87,108.01843999999998,19.878956
2010-10-08,1165.150024,28.132532,155.550003,7.05,108.119629,19.911371
2010-10-11,1165.319946,28.255940999999996,153.029999,7.24,108.750381,19.927574
2010-10-12,1169.77002,28.560163,156.479996,7.3,108.898338,20.122073999999998
2010-10-13,1178.099976,28.713224,155.169998,7.22,109.303246,20.535373999999997
2010-10-14,1173.810059,28.920821999999998,155.529999,7.14,110.183182,20.44623
2010-10-15,1176.189941,30.109942999999998,164.639999,7.12,109.840538,20.697457999999997
2010-10-18,1184.709961,30.421823999999997,163.559998,6.96,111.21878799999999,20.924367999999998
2010-10-19,1165.900024,29.607702000000003,158.669998,6.95,107.481125,20.340879
2010-10-20,1178.170044,29.707193,158.669998,6.82,108.29097,20.511063
2010-10-21,1180.26001,29.610575,164.970001,6.89,108.882774,20.600203
2010-10-22,1183.079956,29.414457000000002,169.130005,6.89,108.75818600000001,20.567789
2010-10-25,1185.619995,29.545521,169.0,7.26,108.89057199999999,20.413815
2010-10-26,1185.640015,29.469952000000003,169.949997,7.2,109.53685,20.989189
2010-10-27,1182.449951,29.448908000000003,167.509995,7.35,110.128654,21.110748
2010-10-28,1183.780029,29.201128000000004,166.83999599999999,7.63,109.715942,21.297145999999998
2010-10-29,1183.26001,28.793590999999996,165.229996,7.34,111.818375,21.613195
2010-11-01,1184.380005,29.099718,162.580002,7.36,111.600357,21.840104999999998
2010-11-02,1193.569946,29.595274,164.610001,7.54,112.00528,22.196684
2010-11-03,1197.959961,29.924359999999997,168.470001,7.64,112.262215,21.904938
2010-11-04,1221.060059,30.447659,168.929993,8.0,114.30239099999999,21.994078
2010-11-05,1225.849976,30.338596000000003,170.770004,8.04,114.40358,21.759064000000002
2010-11-08,1223.25,30.481138,171.990005,8.14,114.552177,21.726651999999998
2010-11-09,1213.400024,30.238144000000002,170.270004,7.91,114.301933,21.840104999999998
2010-11-10,1218.709961,30.424691999999997,173.330002,7.75,114.62258100000001,21.832005
2010-11-11,1213.540039,30.292677,170.369995,7.63,113.746559,21.6213
2010-11-12,1199.209961,29.468040000000002,165.679993,7.63,112.42476699999999,21.289042000000002
2010-11-15,1197.75,29.373321999999998,158.899994,7.57,112.34657299999999,21.232306
2010-11-16,1178.339966,28.851941999999998,157.779999,7.43,111.251595,21.044779000000002
2010-11-17,1178.589966,28.747673,158.350006,7.33,111.02475700000001,20.849080999999998
2010-11-18,1196.689941,29.506303999999997,164.169998,7.35,112.909714,21.069237
2010-11-19,1199.72998,29.343664,164.820007,7.47,113.449417,20.946934
2010-11-22,1197.839966,29.977942,170.389999,7.41,113.715324,20.979546
2010-11-23,1180.72998,29.534994,168.199997,7.32,111.98677099999999,20.48217
2010-11-24,1198.349976,30.115692,177.25,7.62,114.043823,20.68601
2010-11-26,1189.400024,30.134828999999996,177.199997,7.55,112.549904,20.588161
2010-11-29,1187.76001,30.313725,179.490005,7.38,111.759979,20.637093
2010-11-30,1180.550049,29.766512,175.399994,7.29,110.64148700000001,20.596323
2010-12-01,1206.069946,30.268757,176.550003,7.51,112.94886000000001,21.232306
2010-12-02,1221.530029,30.436178,176.529999,7.54,113.551048,21.925380999999998
2010-12-03,1224.709961,30.368246000000003,175.679993,7.65,113.707481,22.031376
2010-12-06,1223.119995,30.627504,178.050003,7.82,113.402473,21.884604
2010-12-07,1223.75,30.441909999999996,176.770004,8.02,112.64378400000001,21.909071
2010-12-08,1228.280029,30.70978,176.28999299999998,8.17,113.394623,22.20261
2010-12-09,1233.0,30.590206,174.850006,7.95,112.862801,22.080301000000002
2010-12-10,1240.400024,30.666725,175.619995,8.07,113.269531,22.292294000000002
2010-12-13,1240.459961,30.772919,174.25,8.23,112.847153,22.21891
2010-12-14,1241.589966,30.640896,173.940002,8.05,114.05161299999999,22.520605
2010-12-15,1235.22998,30.647593,175.570007,8.02,113.191277,22.708139000000003
2010-12-16,1242.869995,30.732734999999998,178.03999299999998,8.03,113.058296,22.822295999999998
