Date,S&P,ADBE,AMD,CAT,XTO,XYL
20101004,-0.008067387,-0.025834865,-0.015726008,-0.012219353,,
20101005,0.020646723,0.006619046,0.005747452,0.027192899,,
20101006,-0.00067223,-0.001553206,-0.017341498,-0.004038142,,
20101007,-0.001647875,0.108891176,0.001456938,-0.004308267,,
20101008,0.006103612,-0.061082101,0.025863634,0.020489646,,
20101011,0.000145826,0.009586898,0.026593244,-0.004864814,,
20101012,0.003811484,0.014933932,0.008252851,-0.008034188,,
20101013,0.007095785,0.001806368,-0.011019492,0.011902879,,
20101014,-0.003648032,-0.007970682,-0.011282408,-0.004744236,,
20101015,0.002025432,0.021234934,-0.002664547,-0.002004007,,
20101018,0.007217635,-0.000712254,-0.022728343,0.006125203,,
20101019,-0.016004645,-0.017253998,-0.001438033,-0.021286968,,
20101020,0.010469083,0.022586005,-0.018882151,0.022282882,,
20101021,0.001772337,-0.018244422,0.010211683,-0.017964398,,
20101022,0.002386408,0.018244551,0,-0.007123311,,
20101025,0.002144671,-0.000354063,0.052308729,0.009150011,,
20101026,1.69E-05,-0.002130267,-0.008298336,-0.005072845,,
20101027,-0.00269421,0.001065432,0.020618961,-0.005481999,,
20101028,0.001124217,-0.002488093,0.037387303,-0.006155909,,
20101029,-0.000439384,0.001777419,-0.039430255,0.011002253,,
20101101,0.000946085,0.002483913,0.003402206,0.008487876,,
20101102,0.007729336,0.027954604,0.023498729,0.006036742,,
20101103,0.003671306,-0.007609882,0.013838801,0.001628673,,
20101104,0.019099305,0.02265835,0.046043539,0.040481457,,
20101105,0.003915079,-0.010921422,0.004987542,0.004318661,,
20101108,-0.00212321,0.005134794,0.012361284,-0.005040683,,
20101109,-0.008084895,0.006804795,-0.028662884,-0.014663993,,
20101110,0.004366534,0.010121603,-0.020435387,0.006692555,,
20101111,-0.00425115,0.005022367,-0.015605129,-0.00024303,,
20101112,-0.011878766,-0.013450048,0,-0.017127848,,
20101115,-0.001218178,-0.001016516,-0.008555494,0.009578975,,
20101116,-0.016338157,-0.016744408,-0.018006142,-0.017880915,,
20101117,0.00021214,-0.004143573,-0.013550393,0.009904785,,
20101118,0.015240583,-0.007641119,0.002725283,0.023618866,,
20101119,0.002537152,0.006256388,0.016195148,0.010294826,,
20101122,-0.001576608,0.011026979,-0.00806443,0.000356936,,
20101123,-0.014387032,-0.034515878,-0.012220365,-0.016444472,,
20101124,0.014812716,0.007421393,0.04016642,0.024624318,,
20101126,-0.007496592,0.011204989,-0.009228451,-0.006633956,,
20101129,-0.001379809,-0.012614226,-0.022774379,-0.005483004,,
20101130,-0.006088716,-0.019943557,-0.012269969,0.011053682,,
20101201,0.021386622,0.020296623,0.029731603,0.03313299,,
20101202,0.012737101,0.025405529,0.003987041,0.013290292,,
20101203,0.002599854,0.001374056,0.014483604,0.008539435,,
20101206,-0.001299082,0.003084239,0.021851507,-0.002016031,,
20101207,0.000514947,-0.007209929,0.025382131,0.012809606,,
20101208,0.003694925,0.006525661,0.01853025,-0.00811282,,
20101209,0.003835384,-0.021104134,-0.027297202,0.000557844,,
20101210,0.005983704,0.003838623,0.014981219,0.003006476,,
20101213,4.83E-05,-0.031849865,0.019633005,0.018615649,,
20101214,0.000910541,0.012151866,-0.022113716,0.005007442,,
20101215,-0.005135618,-0.015392865,-0.003733963,0.01112291,,
