Date,S&P,AAPL,AMD,AMZN,C,CAT,CME
20120308,0.009770049,0.021069472,0.040989341,0.020840324,0.022606536,0.018302483,0.00369915
20120309,0.003624673,0.005849856,0.014618625,-0.017851392,0.005864769,-0.000544148,0.001194287
20120312,0.000160448,0.012450174,-0.010610088,-0.005058774,0.002628542,-0.011680958,-0.023265556
20120313,0.017969133,0.028749737,0.034079636,0.006521687,0.061087573,0.039241867,0.010273051
20120314,-0.001196978,0.037112724,0,-0.012703347,-0.034611114,-0.009132575,0.012956698
20120315,0.005949466,-0.006841349,0.061230556,0.011835681,0.029660739,0.010455154,0.034473888
20120316,0.001118772,1.70E-05,-0.006079442,0.003356361,0.011513465,0.001145344,0.011116977
20120319,0.003965971,0.026175415,-0.002441979,0.00253678,0.012998157,0.001320128,0.002035926
20120320,-0.003005029,0.008052491,-0.014778669,0.036050308,0.024187119,-0.026461025,0.014886642
20120321,-0.00187295,-0.005726364,-0.002484083,-0.003124877,-0.007380167,-0.0160176,0.014434322
20120322,-0.007232635,-0.005258803,-0.001244774,0.00348791,-0.024098039,-0.023860409,-0.009825109
20120323,0.003104035,-0.00550412,0.007444223,0.013627719,0.006348804,0.013068237,0.000878614
20120326,0.0137903,0.018170905,0.018371211,0.039361088,0.007912613,0.008495808,0.005692765
20120327,-0.00282075,0.012280288,-0.006086485,0.012588432,-0.017518558,-0.006365215,-0.012166715
20120328,-0.004953759,0.005096988,-0.013522012,-0.021053069,0.007584167,-0.035799213,-0.011559555
20120329,-0.001609224,-0.012643594,0.004937789,0.017005582,-0.01495223,0.016740099,-0.003860442
20120330,0.003691614,-0.017050538,-0.012391458,-0.010316028,0.0010954,0.004704915,-0.000932435
20120402,0.007476626,0.03132811,0.02219584,-0.022270149,0.008716897,0.006829625,0.006510759
20120403,-0.003996612,0.017132399,-0.027195467,0.008096138,-0.01365379,-0.009744322,-0.009730185
20120404,-0.010254926,-0.007992858,-0.021533184,-0.028809023,-0.037254408,0.000470889,-0.007587714
20120405,-0.00062924,0.014897479,0.007652644,0.002059877,-0.007160576,-0.003676751,0.005956226
20120409,-0.011423438,0.004015925,-0.015365446,-0.013048766,-0.023852216,-0.021964462,-0.011421983
20120410,-0.017229025,-0.012319575,-0.028797702,-0.025816394,-0.033221783,-0.030787096,-0.009068999
20120411,0.00742129,-0.003570366,0.014502331,0.005281031,0.021823134,0.01305738,0.007205974
20120412,0.013685315,-0.005492054,0.035993396,0.014366309,0.030496227,0.045062272,0.011756619
20120413,-0.012553467,-0.028568213,-0.024282447,-0.011762913,-0.035720446,-0.005180395,-0.01871402
20120416,-0.000503728,-0.042356505,-0.003888551,-0.015830646,0.017504891,0.007994955,-0.005223619
20120417,0.015367979,0.049714499,0.03069311,0.015459878,0.031270928,0.015523879,-0.001782588
20120418,-0.004063533,-0.002233492,0.003770881,0.01412576,0,0.007351908,-0.00655242
20120419,-0.005952076,-0.034960043,0,0.000156988,-0.006577585,-0.017085123,-0.003238237
20120420,0.001168582,-0.024923014,-0.026702356,-0.005878243,-0.027933534,0.003440076,-0.016021664
20120423,-0.008443113,-0.002236499,-0.048854166,-0.009201202,-0.019065599,-0.007733829,-0.004220895
20120424,0.00367302,-0.020178218,-0.010884017,0.011041814,0.005099973,0.013934463,0.002460969
20120425,0.013552343,0.085021983,0.010884548,0.021261367,0.007749892,-0.046835875,0.002088817
20120426,0.006657953,-0.003777124,0.008086218,0.008042572,0.00592044,0.009142084,0.003144052
20120427,0.002411414,-0.007764062,-0.016238128,0.146225357,-0.011279374,0.001627675,-0.020724272
20120430,-0.003891062,-0.032050163,0.004084646,0.022016841,-0.013675079,-0.017267224,-0.009584788
20120501,0.005642435,-0.003173029,0.030771659,-0.008053341,0.016655523,-0.00644271,0.009584918
20120502,-0.002499805,0.006592223,0.005256162,0.000912583,-0.027151283,0.005080075,-0.019755868
20120503,-0.007688352,-0.007124318,-0.029257868,-0.003480048,-0.006750735,-0.019282722,0.003792798
20120504,-0.016278995,-0.028893424,-0.031530916,-0.024083698,-0.02746781,-0.02240104,-0.022823485
20120507,0.00035052,0.007455141,0,0.005209407,0.002212551,-0.012779309,-0.011022525
20120508,-0.004287853,-0.00228561,-0.021112305,-0.005611716,-0.011112516,-0.00722806,0.006130172
20120509,-0.006724828,0.001758453,-0.024479185,-0.004117465,-0.028171106,-0.005195473,0.011956238
20120510,0.002514248,0.002351234,-0.011730534,0.016501105,0.006546525,-0.005746479,0.006555466
20120511,-0.003393091,-0.006700398,0,0.004357492,-0.043339745,0.000628802,0.004688989
20120514,-0.011175073,-0.015094349,-0.004434819,-0.021083708,-0.042100937,-0.02009557,-0.01082134
20120515,-0.005762409,-0.009088173,-0.022472629,0.006527648,-0.012515999,-0.009877623,-0.00605429
20120516,-0.004413543,-0.012908963,-0.032335193,-0.001472083,-0.031806506,-0.008887376,-0.006986348
20120517,-0.015165798,-0.029653347,-0.041539961,-0.025769192,-0.019126756,-0.0452045,-0.012344886
20120518,-0.007415202,0.00048988,-0.019770148,-0.020870277,-0.015261872,0.009973103,0.017240524
20120521,0.015908684,0.05662605,0.047124969,0.019725173,0.009184691,0.036536344,0.022723847
20120522,0.000486219,-0.007708635,-0.022472629,-0.012827927,0.025203701,-0.005341239,-0.025635807
20120523,0.00169227,0.024107075,-0.013072068,0.00901524,0.008507707,0.010655033,-0.014644712
20120524,0.001379081,-0.009226433,-0.009917011,-0.009433355,-0.018212852,-0.01141996,0.010398745
20120525,-0.002167981,-0.005374416,0.032683043,-0.010978039,-0.007152518,-0.016321474,0.024524794
20120529,0.011018056,0.017593326,0.03785921,0.008699053,0.020565082,0.02828226,0.004864151
20120530,-0.014438629,0.011984893,-0.049177639,-0.02604012,-0.038480987,-0.02561734,-0.011552474
20120531,-0.002279261,-0.002489095,-0.011447271,0.017435121,0.019425105,-0.028798731,-0.01234691
20120601,-0.024951296,-0.029403064,-0.059289389,-0.022274239,-0.043166407,-0.024258882,-0.002176367
